"转债代码","转债名称","交易日期","开盘价","最高价","最低价","最新价","涨跌幅","5日涨跌幅","正股名称","正股最高价","正股最低价","正股最新价","正股涨跌幅","正股5日涨跌幅","成交量(手)","成交额(万)","年化波动率","正股年化波动率","股息率","转股价值","转股溢价率","理论转股溢价率","修正转股溢价率","纯债价值","纯债溢价率","期权价值","理论价值","理论偏离度","双低","剩余规模(亿)","剩余市值(亿)","换手率","市净率","市盈率_ttm","市销率_ttm","正股流通市值(亿)","正股总市值（亿）","资产负债率","转债市占比","上市天数","转股截止日","剩余年限","到期收益率(税前)","强赎触发比例","外部评级","三方评级","企业类型","地域","一级行业","二级行业","三级行业","转股溢价率_得分","剩余规模(亿)_得分","赎回状态","总分","排名"
"128082.SZ","华锋转债","2024-04-30","127.994","129.7","126.806","127","-0.00227826223583949","0.07646276055769641","华锋股份","9.49","9","9.07","-0.0065717415115006395","0.2045152731500075","126202.2","16139.3283032","0.36294773442831596","0.5209414476224379","0","99.34282584884994","0.2784013230429989","0.2183302455863723","0.060071077456626626","102.98822513556878","0.23315068137957784","26.611981363106324","129.6002064986751","-0.020474066918701572","154.84013230429989","1.946651","2.47224677","0.6528202806874331","2.07","","2.1931","13.7664918","17.24695501","0.5069404658011408","0.1433439565747438","1577","2025-12-03","1.5972602739726027","-0.04918279192209747","1.3","A","8","民营企业","广东","有色金属","基本金属","铝","88","186","0/15 | 30","274","1"
"128143.SZ","锋龙转债","2024-04-30","134.716","134.966","133.001","134.008","-0.005129956421354276","0.015773875015777872","锋龙股份","13.56","13.22","13.39","0","0.039596273455537956","14247.2","1911.417232","0.3579832031648688","0.5818423536809584","0","106.01741884402216","0.2640187005227783","0.17473498610392035","0.08928371441885796","101.00847413261232","0.3267005679549537","42.78288245282178","143.7913565854341","-0.0730057652187488","160.40987005227785","1.730554","2.31908080432","0.08242132953881548","3.798","","6.481","25.024912580000002","27.420957209999997","0.3150487949709795","0.08457329868390835","1188","2027-01-07","2.6931506849315068","-0.04306614320479053","1.3","A+","8+","民营企业","浙江","机械设备","专用设备","农用机械","84","188","2/15 | 30","272","2"
"123054.SZ","思特转债","2024-04-30","149.25","150","145.085","145.4","-0.011966485685745543","-0.007826840447726968","思特奇","11.99","11.26","11.45","-0.009515570934256146","0.07009345857816807","54649.1","8016.2053889","0.3918048558263084","0.7514729495363538","0.0006900000000000001","115.77350859453993","0.25590043668122275","0.12617871286389234","0.1297217238173304","109.91379238518653","0.32285491060534177","54.509578374063075","164.4233707592496","-0.1308347369962144","170.99004366812227","1.67272","2.43213488","0.329595428889207","2.475","170.5247","4.2927","31.498312809999998","37.92025187","0.3605879943244708","0.0641381520443999","1395","2026-06-09","2.1123287671232878","-0.0914880623011537","1.3","AA-","8","民营企业","北京","信息技术","计算机软件","其他软件服务","78","192","公告不强赎","270","3"
"128076.SZ","金轮转债","2024-04-30","125.1","125.31","123.8","124.5","-0.0009789603761775068","0.03577371052973799","物产金轮","13.5","13.29","13.36","-0.0037285607755407346","0.0688000001983533","16082.7","2000.9522612","0.21299283186622422","0.374525287300153","0.008233","97.09302325581396","0.28227544910179625","0.2353531461239735","0.04692230297782274","105.84862436272566","0.17620801167296407","17.397136092951538","123.2457604556772","0.010074213207412086","152.72754491017963","2.134405","2.657334225","0.07529923192856931","1.1044","19.4564","0.9817","23.44553521","27.59860223","0.21758993583937417","0.09628510179082356","1636","2025-10-13","1.4575342465753425","-0.07203005653502571","1.3","AA-","7","地方国有企业","江苏","机械设备","金属制品","金属制品","91","178","0/15 | 30","269","4"
"123209.SZ","聚隆转债","2024-04-30","129.502","130.13","125.911","128.11","-0.009739506840844014","0.07745098854525345","南京聚隆","19.46","18.38","18.5","-0.05804480651731159","0.13357843175938222","246707.2","31440.2255568","0.9032652968107598","0.5174832855156228","0.008107999999999999","101.25889436234264","0.2651728108108109","0.2048068906644664","0.06036592014634451","83.69041765806168","0.530760672308098","48.63747586869241","132.32789352675408","-0.032923999116025726","154.6272810810811","2.183939","2.7978442529","1.123730369344606","2.2523","23.9667","1.0195","15.802263029999999","19.94412721","0.5618773402396638","0.14028411589237955","258","2029-07-25","5.241095890410959","-0.014573599772714876","1.3","A+","8","民营企业","江苏","基础化工","化学制品","塑料制品","85","176","0/15 | 30","261","5"
"128056.SZ","今飞转债","2024-04-30","120.599","121.075","119.26","120.222","-0.003737372900317504","0.026660973564395674","今飞凯达","4.63","4.49","4.55","-0.002192982456140302","0.09112709862451873","9940.2","1194.5916092","0.19272520098954082","0.3891837578519464","0.0018310000000000002","97.84946236559139","0.22864241758241755","0.22948644150242548","-0.0008440239200079303","109.48821650398102","0.09803596988566055","13.592465168983987","123.08068167296501","-0.023778357313678278","143.08624175824175","1.718654","2.06620021188","0.05781586906880925","1.023","36.6384","0.6156","22.69905825","27.238639789999997","0.5559320782124081","0.07585548426094885","1867","2025-02-27","0.8328767123287671","-0.0520890079451932","1.3","A+","8","民营企业","浙江","交运设备","汽车","汽车零部件","64","190","0/15 | 30","254","7"
"123206.SZ","开能转债","2024-04-30","123.575","124.574","123.011","123.8","0.0045195264639776855","0.03859060411963511","开能健康","5.53","5.35","5.43","0.011173184357541777","0.08383233580063187","12182.4","1509.1420332","0.7901350275579806","0.41117198056629095","0.017923","96.61921708185054","0.2813186003683241","0.23910398882355133","0.042214611544772795","85.42499627911637","0.44922452903009447","37.279032208347225","122.7040284874636","0.008852758582684972","151.9318600368324","2.499775","3.09472145","0.048765036129503676","2.6473","22.6889","1.8643","23.40756206","31.340653980000003","0.553446228774089","0.0987446353855568","267","2029-07-19","5.2246575342465755","-0.004298881110382308","1.3","A+","8+","民营企业","上海","机械设备","专用设备","环保设备","90","164","0/15 | 30","254","6"
"111012.SH","福新转债","2024-04-30","126.436","129","124.698","127.699","0.009989243569869188","0.07103976399797118","福莱新材","13.98","13.45","13.59","-0.023005032350826737","0.08633093576361173","64790","8214.7519","0.34286159275607425","0.564978396599938","0.013617999999999998","98.98033503277493","0.29014515820456244","0.2209873616390669","0.06915779656549553","89.13067874510867","0.4327165662587069","47.79742577801122","136.92810452311988","-0.07227233199257532","156.71351582045625","2.6851916613999998","3.4289628996911854","0.23956957658363193","2.0663","30.4692","1.1624","7.49910687","25.960231320000002","0.5383400961839466","0.13208522133042325","449","2029-01-03","4.684931506849315","-0.011509389385458106","1.3","A+","8","民营企业","浙江","基础化工","化学制品","塑料制品","97","154","0/15 | 30","251","8"
"123135.SZ","泰林转债","2024-04-30","129.1","137.523","128.1","133.326","0.03676573508141634","0.08307067448005712","泰林生物","18.49","16.76","17.86","0.04997060552616106","0.16884816823729887","505313.3","67587.81894509999","0.1967804571504951","0.4826242424887036","0.012849999999999999","108.24242424242424","0.23173516237402025","0.16223073936783647","0.06950442300618379","95.20718224985504","0.4003775434725987","44.02351564688026","139.2306978967353","-0.044287670047367556","156.49951623740202","2.079393","2.77237151118","2.437906271671819","3.3183","243.7135","7.167","10.50816943","19.41666528","0.3051716090907652","0.1427830923178998","833","2027-12-27","3.663013698630137","-0.02850053337170485","1.3","A+","8","民营企业","浙江","医药生物","医疗器械","医疗器械","68","180","0/15 | 30","248","9"
"113537.SH","文灿转债","2024-04-30","187.2","196.789","186.502","187.671","0.014459772103180502","0.1557875289286379","文灿股份","30.96","28.93","30.13","0.041479433114414155","0.23180703255890345","563019","108076.3496","0.4525564931298594","0.5335660953265264","0.004969","158.74604847207584","0.18220895453036867","0.030073951739043432","0.15213500279132525","112.86104795489867","0.6628500567795255","68.38896455524687","181.25001251014555","0.03421406338674826","205.89189545303685","1.2294803782","2.307378120571722","4.683946191412305","2.4658","72.3584","1.4986","79.56242987","79.56242987","0.5920449396821564","0.029000850330260557","1762","2025-06-09","1.1123287671232878","-0.3486547384877382","1.3","AA-","7","民营企业","广东","交运设备","汽车","汽车零部件","47","198","公告不强赎","245","10"
